rho2.35  16Mg+16Si+49O+Fe N=  82  V[A^3]= 1185.7403 rho[g/cc]=  2.3500 T[K]=   5000  P[GPa]=     4.723  0.217 E[Ha]= -15.91894300  0.04705000  t=  4.04  2.43  
rho2.4   16Mg+16Si+49O+Fe N=  82  V[A^3]= 1161.0373 rho[g/cc]=  2.4000 T[K]=   5000  P[GPa]=     5.410  0.317 E[Ha]= -15.96332700  0.04579300  t=  4.16  2.49  
rho2.5   16Mg+16Si+49O+Fe N=  82  V[A^3]= 1114.5958 rho[g/cc]=  2.5000 T[K]=   5000  P[GPa]=     6.745  0.182 E[Ha]= -16.09910400  0.03806300  t=  5.69  3.41  
rho2.6   16Mg+16Si+49O+Fe N=  82  V[A^3]= 1071.7268 rho[g/cc]=  2.6000 T[K]=   5000  P[GPa]=     8.089  0.206 E[Ha]= -16.11961000  0.04509900  t=  4.74  2.84  
rho2.7   16Mg+16Si+49O+Fe N=  82  V[A^3]= 1032.0332 rho[g/cc]=  2.7000 T[K]=   5000  P[GPa]=     9.978  0.277 E[Ha]= -16.18834000  0.03220300  t=  4.59  2.75  
rho2.8   16Mg+16Si+49O+Fe N=  82  V[A^3]=  995.1749 rho[g/cc]=  2.8000 T[K]=   5000  P[GPa]=    11.462  0.203 E[Ha]= -16.24135000  0.04002300  t=  5.07  3.04  
rho2.9   16Mg+16Si+49O+Fe N=  82  V[A^3]=  960.8585 rho[g/cc]=  2.9000 T[K]=   5000  P[GPa]=    13.481  0.243 E[Ha]= -16.18477600  0.03375100  t=  4.64  2.79  
rho3.0   16Mg+16Si+49O+Fe N=  82  V[A^3]=  928.8299 rho[g/cc]=  3.0000 T[K]=   5000  P[GPa]=    16.204  0.436 E[Ha]= -16.21228500  0.03866400  t=  3.40  2.04  
rho3.2   16Mg+16Si+49O+Fe N=  82  V[A^3]=  870.7780 rho[g/cc]=  3.2000 T[K]=   5000  P[GPa]=    22.298  0.362 E[Ha]= -16.25122000  0.03683500  t=  4.93  2.96  
rho3.3   16Mg+16Si+49O+Fe N=  82  V[A^3]=  844.3908 rho[g/cc]=  3.3000 T[K]=   5000  P[GPa]=    25.255  0.317 E[Ha]= -16.18937000  0.02461300  t=  4.94  2.96  
rho3.4   16Mg+16Si+49O+Fe N=  82  V[A^3]=  819.5558 rho[g/cc]=  3.4000 T[K]=   5000  P[GPa]=    29.035  0.467 E[Ha]= -16.23174300  0.06138700  t=  2.03  1.22  
rho3.5   16Mg+16Si+49O+Fe N=  82  V[A^3]=  796.1399 rho[g/cc]=  3.5000 T[K]=   5000  P[GPa]=    33.428  0.379 E[Ha]= -16.18148400  0.03475100  t=  3.64  2.18  
rho3.6   16Mg+16Si+49O+Fe N=  82  V[A^3]=  774.0249 rho[g/cc]=  3.6000 T[K]=   5000  P[GPa]=    37.842  0.409 E[Ha]= -15.99972800  0.03923900  t=  3.03  1.82  
rho3.8   16Mg+16Si+49O+Fe N=  82  V[A^3]=  733.2867 rho[g/cc]=  3.8000 T[K]=   5000  P[GPa]=    46.751  0.436 E[Ha]= -15.94558500  0.03472800  t=  3.59  2.15  
rho3.9   16Mg+16Si+49O+Fe N=  82  V[A^3]=  714.4845 rho[g/cc]=  3.9000 T[K]=   5000  P[GPa]=    51.101  0.383 E[Ha]= -15.91614300  0.03467200  t=  5.52  3.31  
rho4.0   16Mg+16Si+49O+Fe N=  82  V[A^3]=  696.6224 rho[g/cc]=  4.0000 T[K]=   5000  P[GPa]=    56.624  0.401 E[Ha]= -15.79230900  0.03137800  t=  4.16  2.50  
rho4.2   16Mg+16Si+49O+Fe N=  82  V[A^3]=  663.4499 rho[g/cc]=  4.2000 T[K]=   5000  P[GPa]=    70.171  0.451 E[Ha]= -15.66208700  0.03689400  t=  2.60  1.56  
rho4.3   16Mg+16Si+49O+Fe N=  82  V[A^3]=  648.0208 rho[g/cc]=  4.3000 T[K]=   5000  P[GPa]=    75.600  0.480 E[Ha]= -15.50884100  0.02691900  t=  3.06  1.83  
rho4.4   16Mg+16Si+49O+Fe N=  82  V[A^3]=  633.2931 rho[g/cc]=  4.4000 T[K]=   5000  P[GPa]=    82.484  0.577 E[Ha]= -15.31665800  0.04798200  t=  3.13  1.88  
rho4.6   16Mg+16Si+49O+Fe N=  82  V[A^3]=  605.7586 rho[g/cc]=  4.6000 T[K]=   5000  P[GPa]=    97.726  0.577 E[Ha]= -15.10850700  0.03551900  t=  2.17  1.30  
rho4.7   16Mg+16Si+49O+Fe N=  82  V[A^3]=  592.8701 rho[g/cc]=  4.7000 T[K]=   5000  P[GPa]=   105.644  0.867 E[Ha]= -14.83615000  0.05133800  t=  2.17  1.30  
